Bathroom,ScanTime,Entrance
Men's Bathroom2,12/09/22 18:38,TRUE
Men's Bathroom2,12/09/22 18:39,FALSE
Men's Bathroom4,12/09/22 18:43,TRUE
Men's Bathroom4,12/09/22 18:44,TRUE
Men's Bathroom2,12/09/22 18:45,TRUE
Men's Bathroom4,12/09/22 18:45,FALSE
Men's Bathroom4,12/09/22 18:45,FALSE
Men's Bathroom7,12/09/22 18:45,TRUE
Men's Bathroom2,12/09/22 18:46,FALSE
Men's Bathroom7,12/09/22 18:47,FALSE
Men's Bathroom2,12/09/22 18:48,TRUE
Women's Bathroom3,12/09/22 18:48,TRUE
Men's Bathroom2,12/09/22 18:49,FALSE
Men's Bathroom2,12/09/22 18:49,TRUE
Men's Bathroom7,12/09/22 18:49,TRUE
Men's Bathroom4,12/09/22 18:49,TRUE
Men's Bathroom8,12/09/22 18:49,TRUE
Men's Bathroom6,12/09/22 18:49,TRUE
Men's Bathroom2,12/09/22 18:50,FALSE
Men's Bathroom4,12/09/22 18:50,FALSE
Men's Bathroom7,12/09/22 18:50,FALSE
Women's Bathroom3,12/09/22 18:50,FALSE
Men's Bathroom6,12/09/22 18:50,FALSE
Men's Bathroom8,12/09/22 18:50,FALSE
Men's Bathroom8,12/09/22 18:50,TRUE
Men's Bathroom1,12/09/22 18:51,TRUE
Men's Bathroom8,12/09/22 18:51,FALSE
Men's Bathroom1,12/09/22 18:52,TRUE
Men's Bathroom2,12/09/22 18:52,TRUE
Men's Bathroom5,12/09/22 18:53,TRUE
Men's Bathroom2,12/09/22 18:53,TRUE
Men's Bathroom1,12/09/22 18:53,FALSE
Women's Bathroom5,12/09/22 18:53,TRUE
Men's Bathroom2,12/09/22 18:53,FALSE
Men's Bathroom2,12/09/22 18:54,FALSE
Men's Bathroom1,12/09/22 18:54,FALSE
Women's Bathroom8,12/09/22 18:54,TRUE
Men's Bathroom5,12/09/22 18:54,FALSE
Men's Bathroom7,12/09/22 18:54,TRUE
Women's Bathroom3,12/09/22 18:55,TRUE
Women's Bathroom5,12/09/22 18:55,FALSE
Men's Bathroom8,12/09/22 18:55,TRUE
Men's Bathroom1,12/09/22 18:55,TRUE
Women's Bathroom8,12/09/22 18:56,FALSE
Men's Bathroom7,12/09/22 18:56,FALSE
Men's Bathroom7,12/09/22 18:56,TRUE
Women's Bathroom6,12/09/22 18:56,TRUE
Men's Bathroom8,12/09/22 18:56,FALSE
Women's Bathroom6,12/09/22 18:56,TRUE
Men's Bathroom1,12/09/22 18:56,FALSE
Men's Bathroom6,12/09/22 18:56,TRUE
Women's Bathroom3,12/09/22 18:56,FALSE
Women's Bathroom2,12/09/22 18:56,TRUE
Men's Bathroom2,12/09/22 18:57,TRUE
Men's Bathroom7,12/09/22 18:57,FALSE
Women's Bathroom6,12/09/22 18:57,FALSE
Men's Bathroom6,12/09/22 18:57,FALSE
Men's Bathroom2,12/09/22 18:58,TRUE
Men's Bathroom5,12/09/22 18:58,TRUE
Men's Bathroom1,12/09/22 18:58,TRUE
Men's Bathroom3,12/09/22 18:58,TRUE
Women's Bathroom6,12/09/22 18:58,FALSE
Men's Bathroom1,12/09/22 18:58,TRUE
Women's Bathroom2,12/09/22 18:59,FALSE
Men's Bathroom4,12/09/22 18:59,TRUE
Women's Bathroom2,12/09/22 18:59,TRUE
Men's Bathroom5,12/09/22 18:59,FALSE
Men's Bathroom2,12/09/22 18:59,FALSE
Men's Bathroom1,12/09/22 18:59,TRUE
Men's Bathroom8,12/09/22 18:59,TRUE
Men's Bathroom7,12/09/22 18:59,TRUE
Men's Bathroom5,12/09/22 18:59,TRUE
Men's Bathroom1,12/09/22 18:59,FALSE
Men's Bathroom3,12/09/22 18:59,FALSE
Men's Bathroom2,12/09/22 18:59,FALSE
Women's Bathroom8,12/09/22 18:59,TRUE
Men's Bathroom1,12/09/22 18:59,FALSE
Men's Bathroom4,12/09/22 18:59,FALSE
Men's Bathroom5,12/09/22 19:00,TRUE
Men's Bathroom8,12/09/22 19:00,FALSE
Women's Bathroom2,12/09/22 19:00,TRUE
Men's Bathroom7,12/09/22 19:00,FALSE
Men's Bathroom3,12/09/22 19:00,TRUE
Women's Bathroom2,12/09/22 19:00,FALSE
Men's Bathroom1,12/09/22 19:00,FALSE
Women's Bathroom2,12/09/22 19:00,TRUE
Women's Bathroom1,12/09/22 19:00,TRUE
Men's Bathroom1,12/09/22 19:00,TRUE
Men's Bathroom2,12/09/22 19:01,TRUE
Men's Bathroom1,12/09/22 19:01,TRUE
Men's Bathroom5,12/09/22 19:01,FALSE
Women's Bathroom7,12/09/22 19:01,TRUE
Women's Bathroom8,12/09/22 19:01,FALSE
Women's Bathroom1,12/09/22 19:01,TRUE
Men's Bathroom5,12/09/22 19:01,TRUE
Men's Bathroom3,12/09/22 19:01,FALSE
Men's Bathroom1,12/09/22 19:02,TRUE
Men's Bathroom5,12/09/22 19:02,FALSE
Men's Bathroom6,12/09/22 19:02,TRUE
Men's Bathroom1,12/09/22 19:02,FALSE
Women's Bathroom2,12/09/22 19:02,TRUE
Women's Bathroom2,12/09/22 19:02,FALSE
Women's Bathroom1,12/09/22 19:02,FALSE
Men's Bathroom5,12/09/22 19:02,TRUE
Women's Bathroom6,12/09/22 19:02,TRUE
Men's Bathroom5,12/09/22 19:02,FALSE
Women's Bathroom2,12/09/22 19:02,FALSE
Women's Bathroom2,12/09/22 19:02,TRUE
Men's Bathroom1,12/09/22 19:02,FALSE
Men's Bathroom2,12/09/22 19:02,FALSE
Women's Bathroom8,12/09/22 19:02,TRUE
Men's Bathroom2,12/09/22 19:02,TRUE
Women's Bathroom1,12/09/22 19:03,FALSE
Men's Bathroom1,12/09/22 19:03,FALSE
Women's Bathroom7,12/09/22 19:03,FALSE
Men's Bathroom6,12/09/22 19:03,TRUE
Men's Bathroom8,12/09/22 19:03,TRUE
Women's Bathroom1,12/09/22 19:03,TRUE
Men's Bathroom6,12/09/22 19:03,FALSE
Men's Bathroom5,12/09/22 19:03,FALSE
Women's Bathroom6,12/09/22 19:03,FALSE
Women's Bathroom2,12/09/22 19:03,FALSE
Men's Bathroom6,12/09/22 19:03,TRUE
Men's Bathroom2,12/09/22 19:04,FALSE
Men's Bathroom3,12/09/22 19:04,TRUE
Women's Bathroom5,12/09/22 19:04,TRUE
Women's Bathroom8,12/09/22 19:04,TRUE
Men's Bathroom8,12/09/22 19:04,TRUE
Men's Bathroom2,12/09/22 19:04,TRUE
Women's Bathroom2,12/09/22 19:04,FALSE
Men's Bathroom6,12/09/22 19:04,FALSE
Women's Bathroom8,12/09/22 19:04,FALSE
Men's Bathroom4,12/09/22 19:04,TRUE
Men's Bathroom8,12/09/22 19:05,FALSE
Men's Bathroom2,12/09/22 19:05,TRUE
Men's Bathroom6,12/09/22 19:05,FALSE
Women's Bathroom4,12/09/22 19:05,TRUE
Women's Bathroom1,12/09/22 19:05,FALSE
Men's Bathroom3,12/09/22 19:05,TRUE
Women's Bathroom5,12/09/22 19:05,FALSE
Men's Bathroom3,12/09/22 19:05,TRUE
Women's Bathroom8,12/09/22 19:05,FALSE
Men's Bathroom3,12/09/22 19:05,FALSE
Men's Bathroom8,12/09/22 19:06,FALSE
