ConcessionStand,TransactionID,TransactionTime,Item,Quantity
Concession5,10280863,12/09/22 18:35,SoftDrink,3
Concession5,10280863,12/09/22 18:35,Beer,1
Concession5,10280863,12/09/22 18:35,Fries,1
Concession2,10280864,12/09/22 18:36,BottledWater,2
Concession2,10280864,12/09/22 18:36,Beer,1
Concession4,10280865,12/09/22 18:38,Beer,2
Concession4,10280866,12/09/22 18:38,Beer,1
Concession5,10280867,12/09/22 18:39,BottledWater,1
Concession3,10280868,12/09/22 18:39,Beer,2
Concession6,10280869,12/09/22 18:39,BottledWater,1
Concession6,10280869,12/09/22 18:39,SoftDrink,1
Concession6,10280869,12/09/22 18:39,Beer,1
Concession6,10280869,12/09/22 18:39,Hotdog,2
Concession6,10280869,12/09/22 18:39,PizzaSlice,2
Concession3,10280870,12/09/22 18:40,Beer,1
Concession4,10280871,12/09/22 18:40,Beer,2
Concession2,10280872,12/09/22 18:40,BottledWater,2
Concession2,10280872,12/09/22 18:40,SoftDrink,1
Concession2,10280872,12/09/22 18:40,Beer,1
Concession2,10280872,12/09/22 18:40,Hamburger,1
Concession2,10280872,12/09/22 18:40,PizzaSlice,1
Concession2,10280872,12/09/22 18:40,Fries,1
Concession4,10280873,12/09/22 18:40,BottledWater,1
Concession4,10280873,12/09/22 18:40,Beer,2
Concession7,10280874,12/09/22 18:40,Hotdog,1
Concession7,10280875,12/09/22 18:41,BottledWater,2
Concession3,10280876,12/09/22 18:41,BottledWater,1
Concession3,10280876,12/09/22 18:41,Beer,1
Concession3,10280876,12/09/22 18:41,Hotdog,2
Concession3,10280876,12/09/22 18:41,Hamburger,1
Concession3,10280876,12/09/22 18:41,PizzaSlice,1
Concession1,10280877,12/09/22 18:42,BottledWater,3
Concession1,10280877,12/09/22 18:42,SoftDrink,2
Concession1,10280877,12/09/22 18:42,Beer,1
Concession2,10280878,12/09/22 18:42,BottledWater,1
Concession2,10280878,12/09/22 18:42,Beer,2
Concession2,10280878,12/09/22 18:42,Hotdog,1
Concession2,10280878,12/09/22 18:42,Hamburger,3
Concession2,10280878,12/09/22 18:42,PizzaSlice,2
Concession2,10280878,12/09/22 18:42,Fries,1
Concession6,10280879,12/09/22 18:42,Hotdog,2
Concession6,10280879,12/09/22 18:42,PizzaSlice,2
Concession6,10280879,12/09/22 18:42,Fries,1
Concession1,10280880,12/09/22 18:43,BottledWater,1
Concession1,10280880,12/09/22 18:43,Hotdog,4
Concession1,10280880,12/09/22 18:43,Hamburger,1
Concession1,10280880,12/09/22 18:43,PizzaSlice,1
Concession4,10280881,12/09/22 18:43,BottledWater,1
Concession4,10280881,12/09/22 18:43,Beer,1
Concession4,10280881,12/09/22 18:43,Hotdog,1
Concession4,10280881,12/09/22 18:43,Hamburger,1
Concession4,10280881,12/09/22 18:43,PizzaSlice,4
Concession4,10280881,12/09/22 18:43,Fries,1
Concession2,10280882,12/09/22 18:43,BottledWater,2
Concession2,10280882,12/09/22 18:43,Beer,1
Concession1,10280883,12/09/22 18:43,BottledWater,2
Concession1,10280883,12/09/22 18:43,SoftDrink,1
Concession6,10280885,12/09/22 18:43,BottledWater,1
Concession6,10280885,12/09/22 18:43,SoftDrink,1
Concession6,10280885,12/09/22 18:43,Beer,1
Concession6,10280885,12/09/22 18:43,Hotdog,1
Concession6,10280885,12/09/22 18:43,Hamburger,1
Concession5,10280886,12/09/22 18:43,BottledWater,1
Concession5,10280886,12/09/22 18:43,Beer,1
Concession5,10280886,12/09/22 18:43,Hotdog,3
Concession5,10280886,12/09/22 18:43,PizzaSlice,5
Concession5,10280886,12/09/22 18:43,Fries,1
Concession6,10280887,12/09/22 18:43,BottledWater,1
Concession6,10280887,12/09/22 18:43,Beer,1
Concession6,10280887,12/09/22 18:43,PizzaSlice,1
Concession6,10280887,12/09/22 18:43,Fries,1
Concession3,10280888,12/09/22 18:44,BottledWater,1
Concession4,10280889,12/09/22 18:44,Beer,1
Concession7,10280890,12/09/22 18:45,BottledWater,1
Concession7,10280890,12/09/22 18:45,Hamburger,1
Concession7,10280891,12/09/22 18:45,Hotdog,1
Concession7,10280891,12/09/22 18:45,PizzaSlice,1
Concession7,10280891,12/09/22 18:45,Fries,1
Concession3,10280892,12/09/22 18:45,Hamburger,1
Concession3,10280892,12/09/22 18:45,PizzaSlice,1
Concession1,10280893,12/09/22 18:46,BottledWater,2
Concession1,10280893,12/09/22 18:46,SoftDrink,2
Concession1,10280893,12/09/22 18:46,Beer,1
Concession1,10280893,12/09/22 18:46,Hamburger,1
Concession6,10280894,12/09/22 18:46,BottledWater,3
Concession6,10280894,12/09/22 18:46,Beer,2
Concession6,10280894,12/09/22 18:46,Hotdog,3
Concession1,10280895,12/09/22 18:47,BottledWater,1
Concession1,10280895,12/09/22 18:47,SoftDrink,1
Concession1,10280895,12/09/22 18:47,Hotdog,2
Concession1,10280895,12/09/22 18:47,Hamburger,1
Concession1,10280895,12/09/22 18:47,Fries,1
Concession7,10280896,12/09/22 18:47,Hotdog,1
Concession1,10280897,12/09/22 18:47,BottledWater,1
Concession1,10280897,12/09/22 18:47,SoftDrink,1
Concession1,10280897,12/09/22 18:47,Hotdog,3
Concession1,10280897,12/09/22 18:47,PizzaSlice,1
Concession1,10280897,12/09/22 18:47,Fries,2
Concession2,10280898,12/09/22 18:47,BottledWater,1
Concession2,10280898,12/09/22 18:47,SoftDrink,1
Concession2,10280898,12/09/22 18:47,Hamburger,1
Concession2,10280898,12/09/22 18:47,Fries,1
Concession7,10280899,12/09/22 18:47,Beer,1
Concession7,10280900,12/09/22 18:47,BottledWater,1
Concession7,10280900,12/09/22 18:47,Hotdog,3
Concession3,10280901,12/09/22 18:47,BottledWater,1
Concession6,10280902,12/09/22 18:48,BottledWater,2
Concession6,10280902,12/09/22 18:48,Beer,2
Concession6,10280902,12/09/22 18:48,Hotdog,3
Concession6,10280902,12/09/22 18:48,Hamburger,1
Concession6,10280902,12/09/22 18:48,PizzaSlice,5
Concession8,10280903,12/09/22 18:48,BottledWater,1
Concession8,10280903,12/09/22 18:48,SoftDrink,1
Concession8,10280903,12/09/22 18:48,Hotdog,4
Concession8,10280903,12/09/22 18:48,PizzaSlice,1
Concession8,10280903,12/09/22 18:48,Fries,1
Concession6,10280904,12/09/22 18:48,BottledWater,2
Concession6,10280904,12/09/22 18:48,SoftDrink,1
Concession6,10280904,12/09/22 18:48,Beer,2
Concession2,10280905,12/09/22 18:48,BottledWater,3
Concession2,10280905,12/09/22 18:48,Beer,2
Concession4,10280906,12/09/22 18:48,BottledWater,3
Concession4,10280906,12/09/22 18:48,SoftDrink,1
Concession4,10280906,12/09/22 18:48,Beer,1
Concession4,10280906,12/09/22 18:48,Hamburger,1
Concession4,10280906,12/09/22 18:48,PizzaSlice,1
Concession4,10280906,12/09/22 18:48,Fries,1
Concession3,10280907,12/09/22 18:49,BottledWater,1
Concession3,10280907,12/09/22 18:49,Hamburger,1
Concession3,10280907,12/09/22 18:49,PizzaSlice,1
Concession3,10280907,12/09/22 18:49,Fries,1
Concession1,10280908,12/09/22 18:49,BottledWater,1
Concession1,10280908,12/09/22 18:49,Beer,1
Concession1,10280908,12/09/22 18:49,PizzaSlice,1
Concession5,10280909,12/09/22 18:49,BottledWater,2
Concession5,10280909,12/09/22 18:49,SoftDrink,1
Concession5,10280909,12/09/22 18:49,Hotdog,1
Concession5,10280909,12/09/22 18:49,PizzaSlice,1
Concession5,10280909,12/09/22 18:49,Fries,1
Concession1,10280910,12/09/22 18:49,SoftDrink,1
Concession6,10280911,12/09/22 18:49,Hotdog,1
Concession6,10280911,12/09/22 18:49,Fries,1
Concession8,10280912,12/09/22 18:49,BottledWater,1
Concession8,10280912,12/09/22 18:49,Fries,2
Concession7,10280913,12/09/22 18:49,Beer,1
Concession7,10280915,12/09/22 18:50,Hotdog,3
Concession7,10280915,12/09/22 18:50,PizzaSlice,2
Concession8,10280916,12/09/22 18:50,BottledWater,1
Concession1,10280917,12/09/22 18:50,Hotdog,2
Concession1,10280917,12/09/22 18:50,PizzaSlice,2
Concession8,10280918,12/09/22 18:50,BottledWater,1
Concession8,10280918,12/09/22 18:50,SoftDrink,2
Concession7,10280919,12/09/22 18:50,BottledWater,2
Concession7,10280919,12/09/22 18:50,SoftDrink,1
Concession1,10280920,12/09/22 18:50,BottledWater,1
Concession1,10280920,12/09/22 18:50,SoftDrink,1
Concession1,10280920,12/09/22 18:50,Beer,1
Concession2,10280921,12/09/22 18:50,BottledWater,1
