MerchandiseStand,TransactionTime,Qty
Merch5,12/09/22 18:34,1
Merch5,12/09/22 18:39,2
Merch5,12/09/22 18:39,1
Merch2,12/09/22 18:39,1
Merch6,12/09/22 18:40,1
Merch3,12/09/22 18:40,1
Merch3,12/09/22 18:40,1
Merch6,12/09/22 18:40,3
Merch3,12/09/22 18:41,2
Merch4,12/09/22 18:42,1
Merch5,12/09/22 18:42,1
Merch6,12/09/22 18:43,1
Merch2,12/09/22 18:43,2
Merch3,12/09/22 18:44,1
Merch2,12/09/22 18:45,1
Merch2,12/09/22 18:46,3
Merch6,12/09/22 18:46,1
Merch4,12/09/22 18:46,1
Merch2,12/09/22 18:47,1
Merch2,12/09/22 18:47,1
Merch4,12/09/22 18:47,3
Merch6,12/09/22 18:48,1
Merch3,12/09/22 18:49,1
Merch1,12/09/22 18:49,2
Merch6,12/09/22 18:49,1
Merch2,12/09/22 18:50,1
Merch4,12/09/22 18:50,1
Merch3,12/09/22 18:51,1
Merch2,12/09/22 18:51,3
Merch6,12/09/22 18:52,3
Merch4,12/09/22 18:52,1
Merch2,12/09/22 18:52,1
Merch5,12/09/22 18:52,1
Merch3,12/09/22 18:52,1
Merch2,12/09/22 18:52,1
Merch5,12/09/22 18:52,1
Merch3,12/09/22 18:52,1
Merch4,12/09/22 18:53,1
Merch2,12/09/22 18:53,1
Merch1,12/09/22 18:53,1
Merch4,12/09/22 18:53,1
Merch3,12/09/22 18:53,1
Merch2,12/09/22 18:53,4
Merch1,12/09/22 18:53,1
Merch3,12/09/22 18:53,2
Merch5,12/09/22 18:54,3
Merch3,12/09/22 18:54,1
Merch6,12/09/22 18:54,1
Merch2,12/09/22 18:54,1
Merch3,12/09/22 18:54,1
Merch4,12/09/22 18:54,1
Merch5,12/09/22 18:54,4
Merch6,12/09/22 18:55,1
Merch3,12/09/22 18:55,1
Merch2,12/09/22 18:55,1
Merch4,12/09/22 18:55,1
Merch5,12/09/22 18:55,1
Merch3,12/09/22 18:55,1
Merch4,12/09/22 18:56,1
Merch3,12/09/22 18:56,2
Merch1,12/09/22 18:56,5
Merch2,12/09/22 18:56,4
Merch5,12/09/22 18:56,1
Merch4,12/09/22 18:56,1
Merch3,12/09/22 18:56,1
Merch1,12/09/22 18:57,1
Merch5,12/09/22 18:57,1
Merch2,12/09/22 18:57,1
Merch3,12/09/22 18:57,1
Merch6,12/09/22 18:57,2
Merch3,12/09/22 18:57,3
Merch1,12/09/22 18:57,4
Merch1,12/09/22 18:58,1
Merch3,12/09/22 18:58,1
Merch2,12/09/22 18:58,1
Merch5,12/09/22 18:58,3
Merch6,12/09/22 18:58,1
Merch1,12/09/22 18:58,1
Merch3,12/09/22 18:58,1
Merch4,12/09/22 18:58,1
Merch2,12/09/22 18:58,2
Merch1,12/09/22 18:59,1
Merch5,12/09/22 18:59,1
Merch6,12/09/22 18:59,1
Merch3,12/09/22 18:59,1
Merch2,12/09/22 18:59,2
Merch6,12/09/22 18:59,1
Merch1,12/09/22 18:59,2
Merch5,12/09/22 18:59,1
Merch3,12/09/22 18:59,1
Merch4,12/09/22 18:59,2
Merch2,12/09/22 18:59,5
Merch1,12/09/22 19:00,4
Merch6,12/09/22 19:00,5
Merch3,12/09/22 19:00,4
Merch5,12/09/22 19:00,1
Merch2,12/09/22 19:00,2
Merch6,12/09/22 19:00,1
Merch4,12/09/22 19:00,1
Merch5,12/09/22 19:00,3
Merch3,12/09/22 19:00,5
Merch2,12/09/22 19:00,1
Merch4,12/09/22 19:01,5
Merch6,12/09/22 19:01,3
Merch3,12/09/22 19:01,2
Merch5,12/09/22 19:01,1
Merch2,12/09/22 19:01,1
Merch6,12/09/22 19:01,3
Merch1,12/09/22 19:01,1
Merch5,12/09/22 19:01,2
Merch3,12/09/22 19:02,1
Merch4,12/09/22 19:02,3
Merch6,12/09/22 19:02,3
Merch2,12/09/22 19:02,3
Merch5,12/09/22 19:02,3
Merch6,12/09/22 19:02,5
Merch4,12/09/22 19:02,1
Merch3,12/09/22 19:02,1
Merch1,12/09/22 19:02,3
Merch2,12/09/22 19:02,1
Merch6,12/09/22 19:02,1
Merch3,12/09/22 19:03,1
Merch2,12/09/22 19:03,1
Merch5,12/09/22 19:03,1
Merch6,12/09/22 19:03,1
Merch3,12/09/22 19:03,2
Merch1,12/09/22 19:03,1
Merch4,12/09/22 19:03,1
Merch5,12/09/22 19:04,1
Merch1,12/09/22 19:04,1
Merch6,12/09/22 19:04,1
Merch3,12/09/22 19:04,1
Merch5,12/09/22 19:04,4
Merch3,12/09/22 19:04,1
Merch6,12/09/22 19:04,1
Merch1,12/09/22 19:04,1
Merch4,12/09/22 19:05,1
Merch5,12/09/22 19:05,2
Merch1,12/09/22 19:05,1
Merch3,12/09/22 19:05,2
Merch4,12/09/22 19:05,1
Merch6,12/09/22 19:05,1
Merch5,12/09/22 19:05,2
Merch3,12/09/22 19:05,1
Merch1,12/09/22 19:05,1
Merch5,12/09/22 19:06,5
Merch6,12/09/22 19:06,1
Merch1,12/09/22 19:06,1
Merch4,12/09/22 19:06,1
Merch3,12/09/22 19:06,5
Merch2,12/09/22 19:06,1
Merch5,12/09/22 19:06,3
Merch6,12/09/22 19:06,1
Merch3,12/09/22 19:06,1
Merch4,12/09/22 19:06,5
Merch2,12/09/22 19:06,1
Merch6,12/09/22 19:07,1
Merch1,12/09/22 19:07,1
Merch3,12/09/22 19:07,1
Merch4,12/09/22 19:07,1
Merch6,12/09/22 19:07,1
Merch2,12/09/22 19:07,1
Merch3,12/09/22 19:07,1
Merch4,12/09/22 19:07,1
Merch2,12/09/22 19:08,1
Merch5,12/09/22 19:08,4
Merch1,12/09/22 19:08,1
Merch3,12/09/22 19:08,4
Merch4,12/09/22 19:08,5
Merch6,12/09/22 19:08,3
Merch3,12/09/22 19:08,3
Merch1,12/09/22 19:08,1
Merch5,12/09/22 19:08,3
Merch2,12/09/22 19:08,1
Merch4,12/09/22 19:08,1
Merch6,12/09/22 19:08,2
Merch1,12/09/22 19:09,2
Merch2,12/09/22 19:09,1
Merch3,12/09/22 19:09,2
Merch5,12/09/22 19:09,1
Merch6,12/09/22 19:09,1
Merch4,12/09/22 19:09,1
Merch1,12/09/22 19:09,1
Merch2,12/09/22 19:09,1
Merch3,12/09/22 19:09,1
Merch5,12/09/22 19:09,1
Merch2,12/09/22 19:09,4
Merch6,12/09/22 19:09,2
Merch1,12/09/22 19:09,1
Merch4,12/09/22 19:10,1
Merch3,12/09/22 19:10,3
Merch5,12/09/22 19:10,1
Merch2,12/09/22 19:10,3
Merch4,12/09/22 19:10,1
Merch6,12/09/22 19:10,1
Merch1,12/09/22 19:10,2
Merch3,12/09/22 19:10,1
Merch5,12/09/22 19:10,1
Merch6,12/09/22 19:10,3
Merch2,12/09/22 19:10,1
Merch4,12/09/22 19:10,4
Merch1,12/09/22 19:11,1
Merch3,12/09/22 19:11,1
Merch6,12/09/22 19:11,1
Merch5,12/09/22 19:11,1
Merch2,12/09/22 19:11,1
Merch4,12/09/22 19:11,5
Merch1,12/09/22 19:11,1
Merch6,12/09/22 19:11,1
Merch5,12/09/22 19:11,1
Merch3,12/09/22 19:11,3
Merch1,12/09/22 19:11,1
Merch4,12/09/22 19:12,1
Merch2,12/09/22 19:12,5
Merch1,12/09/22 19:12,1
Merch6,12/09/22 19:12,2
Merch5,12/09/22 19:12,5
Merch4,12/09/22 19:12,1
Merch2,12/09/22 19:12,1
Merch3,12/09/22 19:12,1
Merch1,12/09/22 19:12,2
Merch6,12/09/22 19:12,1
Merch2,12/09/22 19:13,2
Merch4,12/09/22 19:13,1
Merch1,12/09/22 19:13,5
Merch3,12/09/22 19:13,2
Merch5,12/09/22 19:13,3
Merch6,12/09/22 19:13,1
Merch1,12/09/22 19:13,1
Merch5,12/09/22 19:14,1
Merch6,12/09/22 19:14,3
Merch2,12/09/22 19:14,2
Merch5,12/09/22 19:14,1
Merch6,12/09/22 19:14,1
Merch2,12/09/22 19:14,1
Merch4,12/09/22 19:14,5
Merch3,12/09/22 19:14,1
Merch5,12/09/22 19:14,3
Merch6,12/09/22 19:15,1
Merch3,12/09/22 19:15,1
Merch2,12/09/22 19:15,1
Merch6,12/09/22 19:15,1
Merch5,12/09/22 19:15,1
Merch4,12/09/22 19:15,3
Merch3,12/09/22 19:15,1
Merch6,12/09/22 19:15,4
Merch2,12/09/22 19:16,1
Merch4,12/09/22 19:16,1
Merch5,12/09/22 19:16,1
Merch3,12/09/22 19:16,4
Merch2,12/09/22 19:16,1
Merch4,12/09/22 19:16,2
Merch3,12/09/22 19:16,3
Merch2,12/09/22 19:17,5
Merch3,12/09/22 19:17,4
Merch2,12/09/22 19:17,1
Merch4,12/09/22 19:17,1
Merch5,12/09/22 19:17,1
Merch6,12/09/22 19:18,1
Merch2,12/09/22 19:18,1
Merch3,12/09/22 19:18,1
Merch3,12/09/22 19:18,2
Merch6,12/09/22 19:18,1
Merch2,12/09/22 19:18,1
Merch3,12/09/22 19:19,2
Merch6,12/09/22 19:19,5
Merch2,12/09/22 19:19,1
Merch5,12/09/22 19:19,1
Merch1,12/09/22 19:19,1
Merch3,12/09/22 19:19,1
Merch6,12/09/22 19:19,1
Merch2,12/09/22 19:19,1
Merch5,12/09/22 19:19,1
Merch1,12/09/22 19:19,3
Merch3,12/09/22 19:20,1
Merch5,12/09/22 19:20,1
Merch6,12/09/22 19:20,1
Merch2,12/09/22 19:20,1
Merch1,12/09/22 19:20,1
Merch4,12/09/22 19:20,5
Merch3,12/09/22 19:20,1
Merch5,12/09/22 19:20,1
Merch6,12/09/22 19:20,1
Merch1,12/09/22 19:20,1
Merch3,12/09/22 19:21,1
Merch2,12/09/22 19:21,1
Merch5,12/09/22 19:21,1
Merch6,12/09/22 19:21,1
Merch4,12/09/22 19:21,1
Merch1,12/09/22 19:21,1
Merch5,12/09/22 19:21,1
Merch6,12/09/22 19:21,1
Merch4,12/09/22 19:21,1
Merch1,12/09/22 19:21,1
Merch2,12/09/22 19:22,5
Merch6,12/09/22 19:22,2
Merch5,12/09/22 19:22,1
Merch4,12/09/22 19:22,1
Merch1,12/09/22 19:22,1
Merch6,12/09/22 19:22,3
Merch3,12/09/22 19:22,3
Merch5,12/09/22 19:22,1
Merch2,12/09/22 19:22,1
Merch4,12/09/22 19:22,1
Merch6,12/09/22 19:23,5
Merch3,12/09/22 19:23,1
Merch4,12/09/22 19:23,1
Merch2,12/09/22 19:23,1
Merch6,12/09/22 19:23,1
Merch3,12/09/22 19:23,1
Merch5,12/09/22 19:23,5
Merch4,12/09/22 19:23,1
Merch2,12/09/22 19:24,1
Merch6,12/09/22 19:24,1
Merch1,12/09/22 19:24,3
Merch5,12/09/22 19:24,1
Merch4,12/09/22 19:24,1
Merch3,12/09/22 19:24,1
Merch6,12/09/22 19:24,4
Merch5,12/09/22 19:24,2
Merch4,12/09/22 19:24,1
Merch1,12/09/22 19:24,1
Merch3,12/09/22 19:25,1
Merch6,12/09/22 19:25,2
Merch2,12/09/22 19:25,1
Merch4,12/09/22 19:25,2
Merch6,12/09/22 19:25,1
Merch3,12/09/22 19:25,1
Merch4,12/09/22 19:25,1
Merch2,12/09/22 19:25,1
Merch6,12/09/22 19:26,1
Merch5,12/09/22 19:26,3
Merch1,12/09/22 19:26,1
Merch4,12/09/22 19:26,1
Merch3,12/09/22 19:26,1
Merch2,12/09/22 19:26,4
Merch6,12/09/22 19:26,1
Merch1,12/09/22 19:26,1
Merch5,12/09/22 19:26,3
Merch4,12/09/22 19:26,1
Merch2,12/09/22 19:26,3
Merch1,12/09/22 19:26,2
Merch5,12/09/22 19:27,1
Merch6,12/09/22 19:27,3
Merch4,12/09/22 19:27,1
Merch1,12/09/22 19:27,1
Merch2,12/09/22 19:27,1
Merch4,12/09/22 19:27,1
Merch6,12/09/22 19:27,1
Merch3,12/09/22 19:27,1
Merch1,12/09/22 19:27,1
Merch2,12/09/22 19:27,1
Merch4,12/09/22 19:28,1
Merch6,12/09/22 19:28,1
