Section,ScanTime,Entrance
SeasonTicketHolder,12/09/22 18:41,TRUE
SeasonTicketHolder,12/09/22 18:41,TRUE
Family,12/09/22 18:44,TRUE
GeneralPublic,12/09/22 18:45,TRUE
GeneralPublic,12/09/22 18:45,TRUE
GeneralPublic,12/09/22 18:47,TRUE
Party,12/09/22 18:47,TRUE
SeasonTicketHolder,12/09/22 18:47,FALSE
Visitor,12/09/22 18:47,TRUE
Party,12/09/22 18:48,TRUE
Party,12/09/22 18:48,TRUE
GeneralPublic,12/09/22 18:49,TRUE
GeneralPublic,12/09/22 18:49,TRUE
Party,12/09/22 18:49,TRUE
GeneralPublic,12/09/22 18:49,TRUE
Party,12/09/22 18:49,TRUE
Party,12/09/22 18:50,TRUE
Family,12/09/22 18:50,TRUE
Party,12/09/22 18:50,TRUE
GeneralPublic,12/09/22 18:50,FALSE
Family,12/09/22 18:50,TRUE
GeneralPublic,12/09/22 18:51,TRUE
Visitor,12/09/22 18:51,TRUE
GeneralPublic,12/09/22 18:51,FALSE
Visitor,12/09/22 18:51,TRUE
SeasonTicketHolder,12/09/22 18:51,TRUE
Family,12/09/22 18:51,TRUE
SeasonTicketHolder,12/09/22 18:51,TRUE
GeneralPublic,12/09/22 18:51,TRUE
Party,12/09/22 18:52,FALSE
SeasonTicketHolder,12/09/22 18:53,TRUE
Party,12/09/22 18:53,TRUE
SeasonTicketHolder,12/09/22 18:53,TRUE
GeneralPublic,12/09/22 18:53,TRUE
Family,12/09/22 18:53,TRUE
Party,12/09/22 18:53,TRUE
Visitor,12/09/22 18:54,TRUE
SeasonTicketHolder,12/09/22 18:54,TRUE
GeneralPublic,12/09/22 18:54,TRUE
Party,12/09/22 18:55,FALSE
GeneralPublic,12/09/22 18:55,TRUE
SeasonTicketHolder,12/09/22 18:55,TRUE
Family,12/09/22 18:55,TRUE
GeneralPublic,12/09/22 18:55,TRUE
SeasonTicketHolder,12/09/22 18:55,TRUE
Family,12/09/22 18:55,TRUE
SeasonTicketHolder,12/09/22 18:56,FALSE
GeneralPublic,12/09/22 18:56,TRUE
Family,12/09/22 18:56,TRUE
GeneralPublic,12/09/22 18:56,TRUE
GeneralPublic,12/09/22 18:56,TRUE
Visitor,12/09/22 18:56,FALSE
GeneralPublic,12/09/22 18:56,TRUE
SeasonTicketHolder,12/09/22 18:56,TRUE
GeneralPublic,12/09/22 18:56,TRUE
SeasonTicketHolder,12/09/22 18:56,TRUE
SeasonTicketHolder,12/09/22 18:56,TRUE
SeasonTicketHolder,12/09/22 18:57,TRUE
SeasonTicketHolder,12/09/22 18:57,TRUE
GeneralPublic,12/09/22 18:57,TRUE
SeasonTicketHolder,12/09/22 18:57,TRUE
Family,12/09/22 18:57,TRUE
SeasonTicketHolder,12/09/22 18:57,TRUE
SeasonTicketHolder,12/09/22 18:57,TRUE
SeasonTicketHolder,12/09/22 18:57,TRUE
