Agent,ScanTime,SeatingSection
GateD_TicketAgent1,12/09/22 18:30,129
GateB_TicketAgent1,12/09/22 18:30,115
GateA_TicketAgent1,12/09/22 18:30,121
GateC_TicketAgent1,12/09/22 18:30,111
GateA_TicketAgent2,12/09/22 18:30,132
GateA_TicketAgent1,12/09/22 18:30,140
GateC_TicketAgent1,12/09/22 18:31,103
GateD_TicketAgent1,12/09/22 18:31,128
GateD_TicketAgent1,12/09/22 18:31,129
GateC_TicketAgent1,12/09/22 18:31,135
GateA_TicketAgent1,12/09/22 18:31,119
GateC_TicketAgent1,12/09/22 18:32,139
GateC_TicketAgent2,12/09/22 18:32,102
GateB_TicketAgent1,12/09/22 18:32,133
GateD_TicketAgent1,12/09/22 18:32,104
GateD_TicketAgent2,12/09/22 18:32,135
GateB_TicketAgent1,12/09/22 18:32,120
GateA_TicketAgent1,12/09/22 18:32,135
GateA_TicketAgent1,12/09/22 18:33,125
GateA_TicketAgent2,12/09/22 18:33,101
GateB_TicketAgent1,12/09/22 18:33,140
GateA_TicketAgent1,12/09/22 18:33,107
GateD_TicketAgent1,12/09/22 18:33,112
GateC_TicketAgent1,12/09/22 18:34,128
GateB_TicketAgent1,12/09/22 18:34,125
GateB_TicketAgent1,12/09/22 18:34,141
GateA_TicketAgent1,12/09/22 18:34,116
GateB_TicketAgent1,12/09/22 18:34,137
GateA_TicketAgent2,12/09/22 18:34,117
GateA_TicketAgent3,12/09/22 18:34,109
GateC_TicketAgent1,12/09/22 18:35,139
GateB_TicketAgent1,12/09/22 18:35,141
GateC_TicketAgent2,12/09/22 18:35,102
GateA_TicketAgent1,12/09/22 18:35,126
GateA_TicketAgent2,12/09/22 18:35,122
GateB_TicketAgent1,12/09/22 18:35,109
GateC_TicketAgent1,12/09/22 18:35,102
GateD_TicketAgent1,12/09/22 18:35,115
GateA_TicketAgent1,12/09/22 18:35,118
GateB_TicketAgent1,12/09/22 18:35,135
GateD_TicketAgent1,12/09/22 18:36,104
GateB_TicketAgent1,12/09/22 18:36,105
GateA_TicketAgent1,12/09/22 18:36,131
GateA_TicketAgent2,12/09/22 18:36,101
GateC_TicketAgent1,12/09/22 18:36,110
GateA_TicketAgent1,12/09/22 18:36,119
