TransactionTime,ConcessionStand,TransactionID,Item,Quantity
2022-09-19 18:30:00,79,79,79,79
2022-09-19 19:00:00,273,273,273,273
2022-09-19 19:30:00,314,314,314,314
2022-09-19 20:00:00,307,307,307,307
2022-09-19 20:30:00,269,269,269,269
2022-09-19 21:00:00,307,307,307,307
2022-09-19 21:30:00,64,64,64,64
2022-09-26 18:30:00,85,85,85,85
2022-09-26 19:00:00,289,289,289,289
2022-09-26 19:30:00,300,300,300,300
2022-09-26 20:00:00,302,302,302,302
2022-09-26 20:30:00,304,304,304,304
2022-09-26 21:00:00,287,287,287,287
2022-09-26 21:30:00,55,55,55,55
2022-12-09 18:30:00,38,38,38,38
2022-12-09 19:00:00,288,288,288,288
2022-12-09 19:30:00,290,290,290,290
2022-12-09 20:00:00,312,312,312,312
2022-12-09 20:30:00,279,279,279,279
2022-12-09 21:00:00,315,315,315,315
2022-12-09 21:30:00,83,83,83,83
